EarthPod Sensor Log
Created: Mon Jul  6 01:06:24 2020

Measurement Time,Time Step (s),Temperature (C),Humidity (%),Light (lux),Pressure (kPa),Interrupt Counter (counts/time step),Wind (m/s),Airflow (m/s),Airflow Error
Mon Jul  6 01:09:02 2020,6.216,35.296,32.521,50.36,96.268066406,0,0.0,0.212,0
Mon Jul  6 01:09:09 2020,6.216,35.269,35.192,26.09,96.268996093,5,0.04263191763191763,0.289,0
Mon Jul  6 01:09:16 2020,6.218,35.392,33.705,44.0,96.269664062,3,0.025570923126407203,0.151,0
Mon Jul  6 01:09:23 2020,6.217,35.329,33.102,44.32,96.2705625,3,0.02557503619108895,0.185,0
Mon Jul  6 01:09:30 2020,6.218,35.377,33.415,45.76,96.267996093,0,0.0,0.242,0
Mon Jul  6 01:09:37 2020,6.215,35.435,33.602,36.56,96.270964843,1,0.008527755430410297,0.163,0
Mon Jul  6 01:09:44 2020,6.216,35.478,32.798,37.96,96.270734375,0,0.0,0.12,0
Mon Jul  6 01:09:51 2020,6.216,35.42,32.971,37.12,96.268128906,1,0.008526383526383526,0.236,0
Mon Jul  6 01:09:58 2020,6.216,35.397,33.732,34.6,96.2715,0,0.0,0.133,0
Mon Jul  6 01:10:05 2020,6.217,35.379,33.547,46.32,96.271835937,1,0.008525012063696318,0.29,0
Mon Jul  6 01:10:12 2020,6.217,35.442,33.186,47.0,96.269835937,1,0.008525012063696318,0.198,0
Mon Jul  6 01:10:19 2020,6.214,35.5,33.572,44.84,96.268730468,2,0.017058255551979398,0.183,0
Mon Jul  6 01:10:26 2020,6.218,35.513,32.142,30.14,96.267730468,1,0.008523641042135734,0.168,0
Mon Jul  6 01:10:33 2020,6.216,35.531,32.83,31.2,96.267628906,0,0.0,0.156,0
Mon Jul  6 01:10:40 2020,6.215,35.588,32.353,38.32,96.267394531,0,0.0,0.227,0
Mon Jul  6 01:10:47 2020,6.215,35.561,32.949,22.46,96.269730468,4,0.03411102172164119,0.312,0
Mon Jul  6 01:10:54 2020,6.215,35.518,33.952,19.82,96.272566406,0,0.0,0.282,0
Mon Jul  6 01:11:01 2020,6.214,35.566,32.888,38.76,96.266730468,0,0.0,0.185,0
Mon Jul  6 01:11:08 2020,6.217,35.422,33.201,28.52,96.269464843,0,0.0,0.387,0
Mon Jul  6 01:11:15 2020,6.214,35.369,32.968,27.04,96.265226562,0,0.0,0.246,0
Mon Jul  6 01:11:22 2020,6.216,35.442,32.771,31.88,96.268332031,0,0.0,0.22,0
Mon Jul  6 01:11:29 2020,6.217,35.45,32.946,37.8,96.268160156,0,0.0,0.338,0
Mon Jul  6 01:11:37 2020,6.219,35.488,32.82,41.24,96.266496093,0,0.0,0.352,0
Mon Jul  6 01:11:44 2020,6.214,35.455,32.702,26.42,96.268730468,0,0.0,0.256,0
Mon Jul  6 01:11:51 2020,6.215,35.337,32.514,24.76,96.26465625,0,0.0,0.332,0
Mon Jul  6 01:11:58 2020,6.215,35.354,34.28,46.32,96.261285156,0,0.0,0.271,0
Mon Jul  6 01:12:05 2020,6.216,35.357,35.899,75.6,96.262453125,1,0.008526383526383526,0.639,0
Mon Jul  6 01:12:12 2020,6.214,35.203,35.061,308.0,96.270023437,114,0.9723205664628258,1.022,0
Mon Jul  6 01:12:19 2020,6.221,34.219,35.105,365.44,96.277332031,498,4.242726249799068,6.208,0
Mon Jul  6 01:12:26 2020,6.22,32.595,37.46,391.68,96.278074218,498,4.243408360128617,5.035,0
Mon Jul  6 01:12:33 2020,6.219,31.651,38.642,156.96,96.263355468,511,4.354880205820871,3.4,0
Mon Jul  6 01:12:40 2020,6.217,31.96,38.159,134.24,96.2655625,182,1.5515521955927296,1.175,0
Mon Jul  6 01:12:47 2020,6.222,31.892,38.407,135.04,96.263007812,491,4.182417229186757,3.166,0
Mon Jul  6 01:12:54 2020,6.221,31.94,37.564,207.2,96.261960937,544,4.634624658415046,3.389,0
Mon Jul  6 01:13:01 2020,6.221,31.968,36.781,197.6,96.260695312,554,4.71981996463591,3.369,0
Mon Jul  6 01:13:08 2020,6.221,31.996,37.396,144.0,96.259722656,545,4.643144189037132,3.84,0
Mon Jul  6 01:13:15 2020,6.223,32.008,37.391,212.16,96.264453125,505,4.30098023461353,4.189,0
Mon Jul  6 01:13:22 2020,6.218,31.875,37.396,364.16,96.258394531,492,4.193631392730782,4.209,0
Mon Jul  6 01:13:29 2020,6.22,31.777,38.075,208.32,96.261707031,507,4.320096463022508,4.305,0
Mon Jul  6 01:13:36 2020,6.221,31.653,37.521,284.8,96.262964843,495,4.217167657932809,4.157,0
Mon Jul  6 01:13:43 2020,6.222,31.515,38.74,203.84,96.262550781,490,4.173899067823851,3.939,0
Mon Jul  6 01:13:50 2020,6.219,31.452,38.626,205.76,96.267261718,474,4.039556198745779,3.88,0
Mon Jul  6 01:13:57 2020,6.221,31.328,39.024,388.8,96.267121093,456,3.884905963671435,4.053,0
Mon Jul  6 01:14:04 2020,6.218,31.26,39.77,319.36,96.26440625,489,4.168060469604375,4.122,0
Mon Jul  6 01:14:12 2020,6.22,31.182,39.564,305.92,96.2645625,471,4.013344051446945,4.06,0
Mon Jul  6 01:14:19 2020,6.224,31.109,38.949,307.68,96.263378906,489,4.164042416452442,4.106,0
Mon Jul  6 01:14:26 2020,6.223,30.991,39.833,322.88,96.262464843,515,4.386148160051422,4.257,0
Mon Jul  6 01:14:33 2020,6.219,30.893,39.318,309.28,96.261230468,494,4.210001607975559,3.987,0
Mon Jul  6 01:14:40 2020,6.224,30.84,39.9,341.76,96.260625,508,4.325835475578406,4.176,0
Mon Jul  6 01:14:47 2020,6.221,30.757,39.541,314.24,96.262621093,497,4.234206719176981,4.05,0
Mon Jul  6 01:14:54 2020,6.221,30.674,39.344,269.44,96.262035156,500,4.259765311043241,4.222,0
Mon Jul  6 01:15:01 2020,6.218,30.601,39.865,323.52,96.25925,507,4.321486008362818,4.136,0
Mon Jul  6 01:15:08 2020,6.22,30.568,40.019,315.52,96.261761718,508,4.328617363344051,4.05,0
Mon Jul  6 01:15:15 2020,6.221,30.515,40.454,315.84,96.2583125,510,4.344960617264105,4.138,0
Mon Jul  6 01:15:22 2020,6.222,30.447,39.979,360.0,96.258875,497,4.233526197364191,4.215,0
Mon Jul  6 01:15:29 2020,6.221,30.384,40.045,347.2,96.25828125,497,4.234206719176981,3.995,0
Mon Jul  6 01:15:36 2020,6.221,30.286,40.113,271.04,96.258054687,513,4.370519209130365,4.122,0
Mon Jul  6 01:15:43 2020,6.218,30.299,40.701,298.72,96.258550781,513,4.372627854615631,4.067,0
Mon Jul  6 01:15:50 2020,6.223,30.261,40.605,318.08,96.264011718,496,4.2243291017194275,3.936,0
Mon Jul  6 01:15:57 2020,6.221,30.213,40.832,321.92,96.261199218,492,4.191609066066548,4.122,0
Mon Jul  6 01:16:04 2020,6.222,30.185,41.181,320.64,96.256824218,499,4.250562520090003,4.121,0
Mon Jul  6 01:16:11 2020,6.219,30.107,40.856,320.96,96.255867187,491,4.184434796591091,4.134,0
Mon Jul  6 01:16:18 2020,6.22,30.105,41.059,322.88,96.2574375,495,4.217845659163987,4.084,0
Mon Jul  6 01:16:25 2020,6.218,30.072,40.386,288.32,96.257769531,516,4.398198777742039,4.168,0
Mon Jul  6 01:16:32 2020,6.218,30.019,40.968,229.28,96.254722656,483,4.11691862335156,4.016,0
Mon Jul  6 01:16:40 2020,6.219,29.976,41.18,112.96,96.26090625,483,4.116256632899179,4.014,0
Mon Jul  6 01:16:47 2020,6.223,29.944,40.641,363.2,96.258910156,504,4.292463442069741,4.128,0
Mon Jul  6 01:16:54 2020,6.217,29.936,40.676,386.24,96.260699218,508,4.330706128357729,4.188,0
Mon Jul  6 01:17:01 2020,6.221,29.903,41.087,368.32,96.259324218,502,4.276804372287414,4.072,0
Mon Jul  6 01:17:08 2020,6.246,29.881,41.152,319.36,96.256394531,504,4.2766570605187315,4.036,0
Mon Jul  6 01:17:15 2020,6.22,29.858,40.791,374.72,96.258804687,503,4.286012861736334,4.205,0
Mon Jul  6 01:17:22 2020,6.219,29.815,41.445,383.36,96.258734375,485,4.133301173822158,3.917,0
Mon Jul  6 01:17:29 2020,6.221,29.833,41.209,373.12,96.259234375,491,4.183089535444463,4.135,0
Mon Jul  6 01:17:36 2020,6.22,29.79,41.644,374.08,96.257382812,503,4.286012861736334,3.963,0
Mon Jul  6 01:17:43 2020,6.22,29.798,41.539,384.0,96.257570312,494,4.209324758842444,3.97,0
Mon Jul  6 01:17:50 2020,6.217,29.785,41.128,381.44,96.25446875,509,4.339231140421425,4.182,0
Mon Jul  6 01:17:57 2020,6.222,29.757,41.871,380.8,96.258839843,517,4.4038894246223075,4.23,0
Mon Jul  6 01:18:04 2020,6.221,29.74,41.192,383.68,96.258121093,492,4.191609066066548,4.048,0
Mon Jul  6 01:18:11 2020,6.219,29.752,41.947,383.68,96.263699218,515,4.388969287666827,4.361,0
Mon Jul  6 01:18:18 2020,6.218,29.71,41.329,383.36,96.260597656,501,4.270344162110003,4.076,0
Mon Jul  6 01:18:25 2020,6.222,29.717,41.41,383.36,96.262667968,498,4.242044358727097,3.953,0
Mon Jul  6 01:18:32 2020,6.22,29.684,41.641,383.68,96.264488281,492,4.192282958199357,4.041,0
Mon Jul  6 01:18:39 2020,6.223,29.637,41.514,382.08,96.260710937,507,4.318013819701109,4.122,0
Mon Jul  6 01:18:46 2020,6.22,29.654,41.784,383.68,96.264011718,507,4.320096463022508,4.045,0
Mon Jul  6 01:18:53 2020,6.221,29.657,42.424,385.6,96.261976562,495,4.217167657932809,4.159,0
Mon Jul  6 01:19:00 2020,6.217,29.619,41.787,385.6,96.264507812,501,4.271031043911855,4.212,0
Mon Jul  6 01:19:08 2020,6.221,29.606,41.169,385.28,96.2618125,508,4.327921556019932,4.094,0
Mon Jul  6 01:19:15 2020,6.221,29.609,40.985,341.12,96.260175781,498,4.242726249799068,4.143,0
Mon Jul  6 01:19:22 2020,6.222,29.566,42.564,341.12,96.265007812,499,4.250562520090003,3.873,0
Mon Jul  6 01:19:29 2020,6.224,29.619,42.297,340.8,96.259792968,499,4.249196658097686,4.267,0
Mon Jul  6 01:19:36 2020,6.22,29.606,41.96,340.8,96.263320312,502,4.277491961414791,4.135,0
Mon Jul  6 01:19:43 2020,6.22,29.599,41.592,340.8,96.2639375,507,4.320096463022508,4.216,0
Mon Jul  6 01:19:50 2020,6.222,29.616,42.649,341.12,96.260210937,486,4.139826422372227,4.209,0
Mon Jul  6 01:19:57 2020,6.219,29.604,41.891,341.12,96.261039062,500,4.261135230744492,4.166,0
Mon Jul  6 01:20:04 2020,6.22,29.581,41.972,340.8,96.261714843,513,4.371221864951768,4.214,0
Mon Jul  6 01:20:11 2020,6.218,29.569,43.011,341.12,96.262929687,510,4.347056931489225,4.168,0
Mon Jul  6 01:20:18 2020,6.223,29.576,41.706,332.8,96.2599375,504,4.292463442069741,4.053,0
Mon Jul  6 01:20:25 2020,6.218,29.569,41.741,372.16,96.259296875,509,4.3385332904470895,4.148,0
Mon Jul  6 01:20:32 2020,6.219,29.561,42.024,305.92,96.2593125,459,3.9117221418234442,3.809,0
Mon Jul  6 01:20:39 2020,6.218,29.528,42.178,304.32,96.258742187,495,4.2192023158571885,4.134,0
Mon Jul  6 01:20:46 2020,6.219,29.566,41.688,304.16,96.259179687,495,4.218523878437047,4.064,0
Mon Jul  6 01:20:53 2020,6.218,29.553,42.382,330.88,96.255898437,501,4.270344162110003,4.049,0
Mon Jul  6 01:21:00 2020,6.22,29.501,41.868,331.52,96.255660156,488,4.158199356913183,4.049,0
Mon Jul  6 01:21:07 2020,6.222,29.513,42.303,330.88,96.253839843,492,4.190935390549662,4.012,0
Mon Jul  6 01:21:14 2020,6.223,29.581,41.911,319.68,96.25921875,475,4.045476458299855,3.949,0
Mon Jul  6 01:21:21 2020,6.219,29.574,42.08,326.08,96.254265625,482,4.10773436243769,4.011,0
Mon Jul  6 01:21:28 2020,6.22,29.581,42.729,326.08,96.256378906,489,4.166720257234727,4.007,0
Mon Jul  6 01:21:36 2020,6.219,29.634,42.141,326.08,96.253804687,479,4.082167551053224,4.032,0
Mon Jul  6 01:21:43 2020,6.222,29.616,42.298,338.24,96.258796875,496,4.225008036001285,4.003,0
Mon Jul  6 01:21:50 2020,6.219,29.639,41.995,343.04,96.257898437,479,4.082167551053224,4.006,0
Mon Jul  6 01:21:57 2020,6.223,29.667,42.729,330.56,96.255144531,482,4.10509400610638,3.885,0
Mon Jul  6 01:22:04 2020,6.219,29.664,42.077,323.84,96.255902343,491,4.184434796591091,4.126,0
Mon Jul  6 01:22:11 2020,6.222,29.737,42.424,317.92,96.255917968,491,4.182417229186757,3.991,0
Mon Jul  6 01:22:18 2020,6.221,29.735,41.189,336.32,96.2579375,503,4.285323902909499,3.996,0
Mon Jul  6 01:22:25 2020,6.218,29.803,41.267,331.84,96.255878906,494,4.210678674815053,3.956,0
Mon Jul  6 01:22:32 2020,6.221,29.856,41.409,341.12,96.255882812,483,4.1149332904677705,3.994,0
Mon Jul  6 01:22:39 2020,6.223,29.853,41.001,342.4,96.256171875,470,4.00289249558091,3.862,0
Mon Jul  6 01:22:46 2020,6.221,29.886,41.256,341.76,96.253488281,457,3.8934254942935222,3.785,0
Mon Jul  6 01:22:53 2020,6.222,29.944,40.815,303.04,96.253644531,488,4.156862745098039,4.029,0
Mon Jul  6 01:23:00 2020,6.219,29.971,40.911,370.24,96.256273437,484,4.124778903360669,4.033,0
Mon Jul  6 01:23:07 2020,6.221,29.999,41.618,376.64,96.253992187,468,3.987140331136473,3.957,0
Mon Jul  6 01:23:14 2020,6.218,30.047,40.658,376.96,96.25396875,483,4.11691862335156,4.024,0
Mon Jul  6 01:23:21 2020,6.22,30.08,40.754,180.64,96.252148437,470,4.004823151125402,3.807,0
Mon Jul  6 01:23:28 2020,6.219,30.102,40.704,89.28,96.251464843,499,4.252612960283003,4.046,0
Mon Jul  6 01:23:35 2020,6.222,30.13,40.928,97.84,96.253898437,490,4.173899067823851,4.148,0
Mon Jul  6 01:23:42 2020,6.219,30.163,40.295,107.36,96.2528125,488,4.158867985206625,4.16,0
Mon Jul  6 01:23:49 2020,6.222,30.175,41.322,109.44,96.256589843,479,4.080199292831886,4.046,0
Mon Jul  6 01:23:56 2020,6.22,30.183,41.342,110.0,96.254910156,496,4.22636655948553,4.029,0
Mon Jul  6 01:24:04 2020,6.218,30.221,40.757,395.52,96.252542968,491,4.185107751688646,4.025,0
Mon Jul  6 01:24:11 2020,6.221,30.258,40.765,397.12,96.253257812,495,4.217167657932809,4.047,0
Mon Jul  6 01:24:18 2020,6.224,30.241,40.422,397.76,96.252371093,478,4.070372750642673,3.909,0
Mon Jul  6 01:24:25 2020,6.218,30.294,40.228,397.76,96.251921875,489,4.168060469604375,4.011,0
Mon Jul  6 01:24:32 2020,6.221,30.336,41.09,393.28,96.25109375,481,4.097894229223597,3.861,0
Mon Jul  6 01:24:39 2020,6.222,30.334,40.472,394.56,96.250644531,486,4.139826422372227,4.137,0
Mon Jul  6 01:24:46 2020,6.212,30.362,40.956,395.2,96.249214843,507,4.3256600128783,4.162,0
Mon Jul  6 01:24:53 2020,6.218,30.359,39.898,394.24,96.249085937,495,4.2192023158571885,4.061,0
Mon Jul  6 01:25:00 2020,6.22,30.387,40.171,394.24,96.250910156,496,4.22636655948553,4.061,0
Mon Jul  6 01:25:07 2020,6.221,30.41,40.185,394.24,96.251550781,468,3.987140331136473,3.857,0
Mon Jul  6 01:25:14 2020,6.219,30.432,40.092,394.24,96.250980468,476,4.056600739668757,4.05,0
Mon Jul  6 01:25:21 2020,6.22,30.425,40.097,393.92,96.251136718,489,4.166720257234727,4.071,0
Mon Jul  6 01:25:28 2020,6.22,30.452,40.071,394.24,96.251265625,490,4.17524115755627,4.013,0
Mon Jul  6 01:25:35 2020,6.219,30.399,40.036,393.28,96.249792968,484,4.124778903360669,3.931,0
Mon Jul  6 01:25:42 2020,6.222,30.412,40.293,393.6,96.247476562,501,4.267598842815814,4.075,0
Mon Jul  6 01:25:49 2020,6.218,30.435,40.991,360.96,96.244847656,479,4.082824059183017,4.008,0
Mon Jul  6 01:25:56 2020,6.221,30.422,40.193,407.36,96.242621093,499,4.251245780421153,4.079,0
Mon Jul  6 01:26:03 2020,6.219,30.465,39.904,407.36,96.247761718,492,4.19295706705258,4.065,0
Mon Jul  6 01:26:10 2020,6.22,30.472,40.122,407.36,96.247597656,481,4.098553054662379,4.238,0
Mon Jul  6 01:26:17 2020,6.222,30.455,40.197,407.36,96.247597656,500,4.259080681452909,4.065,0
Mon Jul  6 01:26:24 2020,6.222,30.442,40.211,406.08,96.249179687,493,4.199453551912568,4.009,0
Mon Jul  6 01:26:32 2020,6.221,30.42,40.075,312.0,96.245636718,489,4.166050474200289,4.021,0
Mon Jul  6 01:26:39 2020,6.223,30.467,40.257,359.04,96.246363281,489,4.164711553912904,4.031,0
Mon Jul  6 01:26:46 2020,6.221,30.44,40.655,353.28,96.244140625,486,4.14049188233403,4.106,0
Mon Jul  6 01:26:53 2020,6.221,30.472,40.296,354.88,96.242953125,494,4.208648127310722,4.09,0
Mon Jul  6 01:27:00 2020,6.22,30.435,40.46,313.28,96.245675781,502,4.277491961414791,4.045,0
Mon Jul  6 01:27:07 2020,6.221,30.483,40.171,311.04,96.244464843,490,4.1745700048223755,4.021,0
Mon Jul  6 01:27:14 2020,6.222,30.43,39.929,347.52,96.24528125,474,4.037608486017357,3.896,0
Mon Jul  6 01:27:21 2020,6.217,30.493,39.71,346.56,96.244585937,475,4.049380730255751,3.9,0
Mon Jul  6 01:27:28 2020,6.217,30.495,39.92,347.2,96.241769531,496,4.228405983593373,4.023,0
Mon Jul  6 01:27:35 2020,6.218,30.523,40.235,350.4,96.242355468,479,4.082824059183017,3.934,0
Mon Jul  6 01:27:42 2020,6.217,30.5,40.307,400.32,96.243875,478,4.074955766446839,3.893,0
Mon Jul  6 01:27:49 2020,6.219,30.538,40.376,420.8,96.244335937,495,4.218523878437047,4.068,0
Mon Jul  6 01:27:56 2020,6.221,30.535,39.877,425.28,96.241113281,484,4.123452821089857,3.95,0
Mon Jul  6 01:28:03 2020,6.218,30.518,40.876,275.52,96.241128906,410,3.4946928272756517,3.969,0
Mon Jul  6 01:28:10 2020,6.228,30.54,39.749,415.36,96.235851562,484,4.118818240205523,4.003,0
Mon Jul  6 01:28:17 2020,6.22,30.568,40.269,413.76,96.235425781,502,4.277491961414791,4.214,0
Mon Jul  6 01:28:24 2020,6.221,30.535,39.727,415.04,96.23675,489,4.166050474200289,3.969,0
Mon Jul  6 01:28:31 2020,6.221,30.563,40.248,415.04,96.238121093,480,4.089374698601511,3.928,0
Mon Jul  6 01:28:38 2020,6.22,30.576,40.31,415.04,96.238710937,486,4.141157556270096,3.954,0
Mon Jul  6 01:28:45 2020,6.269,30.573,39.653,415.04,96.241925781,483,4.0834263837932685,4.005,0
Mon Jul  6 01:28:52 2020,6.217,30.576,40.588,415.04,96.240742187,500,4.262506031848159,4.067,0
Mon Jul  6 01:29:00 2020,6.221,30.593,39.903,414.72,96.240261718,482,4.106413759845684,3.908,0
Mon Jul  6 01:29:07 2020,6.219,30.561,39.996,413.44,96.239757812,508,4.329313394436404,4.147,0
Mon Jul  6 01:29:14 2020,6.219,30.593,39.799,413.76,96.239484375,472,4.022511657822801,3.991,0
Mon Jul  6 01:29:21 2020,6.222,30.621,40.222,414.4,96.23775,491,4.182417229186757,4.039,0
Mon Jul  6 01:29:28 2020,6.222,30.664,40.226,414.08,96.237082031,495,4.21648987463838,4.038,0
Mon Jul  6 01:29:35 2020,6.22,30.676,39.965,414.4,96.234382812,497,4.234887459807074,4.144,0
Mon Jul  6 01:29:42 2020,6.22,30.659,39.781,413.76,96.23571875,474,4.038906752411576,3.814,0
Mon Jul  6 01:29:49 2020,6.219,30.661,39.794,413.76,96.23540625,481,4.099212091976201,3.944,0
Mon Jul  6 01:29:56 2020,6.219,30.669,39.436,414.08,96.234410156,474,4.039556198745779,3.878,0
Mon Jul  6 01:30:03 2020,6.222,30.651,40.158,413.76,96.233085937,484,4.122790099646416,3.971,0
Mon Jul  6 01:30:10 2020,6.22,30.699,40.098,414.08,96.232371093,478,4.072990353697749,3.814,0
Mon Jul  6 01:30:17 2020,6.222,30.661,40.518,413.76,96.231632812,476,4.054644808743169,3.912,0
Mon Jul  6 01:30:24 2020,6.222,30.674,39.488,413.76,96.23296875,484,4.122790099646416,3.988,0
Mon Jul  6 01:30:31 2020,6.22,30.676,39.987,413.44,96.232816406,489,4.166720257234727,4.193,0
Mon Jul  6 01:30:38 2020,6.222,30.729,39.5,413.12,96.233632812,484,4.122790099646416,4.068,0
Mon Jul  6 01:30:45 2020,6.219,30.666,40.145,413.44,96.238316406,460,3.920244412284933,3.962,0
Mon Jul  6 01:30:52 2020,6.222,30.679,40.04,413.76,96.234207031,489,4.165380906460944,4.154,0
Mon Jul  6 01:30:59 2020,6.219,30.676,39.916,413.12,96.23096875,483,4.116256632899179,4.048,0
Mon Jul  6 01:31:06 2020,6.22,30.679,40.211,411.52,96.231691406,487,4.14967845659164,4.02,0
Mon Jul  6 01:31:13 2020,6.218,30.641,40.341,408.64,96.236082031,450,3.835638468961081,3.741,0
Mon Jul  6 01:31:20 2020,6.22,30.684,39.784,413.44,96.23421875,472,4.021864951768489,3.717,0
Mon Jul  6 01:31:28 2020,6.222,30.666,40.469,411.84,96.237027343,462,3.9353905496624875,3.753,0
Mon Jul  6 01:31:35 2020,6.22,30.704,39.854,412.8,96.235054687,451,3.8429260450160774,3.753,0
Mon Jul  6 01:31:42 2020,6.221,30.707,40.557,412.48,96.235085937,434,3.6974762899855325,3.535,0
Mon Jul  6 01:31:49 2020,6.22,30.719,39.897,414.08,96.23740625,452,3.8514469453376208,3.749,0
Mon Jul  6 01:31:56 2020,6.218,30.722,40.469,413.76,96.235378906,437,3.724831135413316,3.703,0
Mon Jul  6 01:32:03 2020,6.219,30.724,39.369,153.36,96.235203125,454,3.8691107895159993,3.573,0
Mon Jul  6 01:32:10 2020,6.219,30.697,39.92,152.0,96.235574218,465,3.962855764592378,3.793,0
Mon Jul  6 01:32:17 2020,6.22,30.694,39.72,139.6,96.234320312,420,3.5787781350482315,3.699,0
Mon Jul  6 01:32:24 2020,6.221,30.697,39.865,138.08,96.23440625,435,3.705995820607619,3.58,0
Mon Jul  6 01:32:31 2020,6.222,30.749,39.802,137.92,96.232917968,449,3.824654451944712,3.676,0
Mon Jul  6 01:32:38 2020,6.22,30.752,40.502,356.48,96.232199218,454,3.8684887459807076,3.599,0
Mon Jul  6 01:32:45 2020,6.221,30.744,40.65,405.76,96.2335,460,3.9189840861597816,3.711,0
Mon Jul  6 01:32:52 2020,6.22,30.752,40.066,405.76,96.235683593,456,3.8855305466237944,3.5,0
Mon Jul  6 01:32:59 2020,6.218,30.764,39.793,405.12,96.233421875,367,3.1281762624638145,2.94,0
Mon Jul  6 01:33:06 2020,6.22,30.777,39.898,407.68,96.234734375,373,3.1782958199356917,3.201,0
Mon Jul  6 01:33:13 2020,6.221,30.764,39.903,407.04,96.23565625,369,3.1437067995499115,3.078,0
Mon Jul  6 01:33:20 2020,6.219,30.787,39.672,408.96,96.236765625,353,3.0083614729056114,3.075,0
Mon Jul  6 01:33:27 2020,6.222,30.79,39.945,198.88,96.238105468,349,2.9728383156541303,3.003,0
Mon Jul  6 01:33:34 2020,6.217,30.782,39.581,393.28,96.236710937,354,3.0178542705484963,2.996,0
Mon Jul  6 01:33:41 2020,6.219,30.785,40.373,403.2,96.235789062,360,3.0680173661360346,3.13,0
Mon Jul  6 01:33:48 2020,6.22,30.782,39.068,149.12,96.236226562,372,3.1697749196141483,3.116,0
Mon Jul  6 01:33:55 2020,6.222,30.77,40.193,144.16,96.237332031,368,3.134683381549341,3.014,0
Mon Jul  6 01:34:03 2020,6.221,30.757,39.724,134.48,96.232246093,382,3.2544606976370356,3.049,0
Mon Jul  6 01:34:10 2020,6.221,30.729,40.55,136.16,96.237175781,379,3.2289021057707763,3.128,0
Mon Jul  6 01:34:17 2020,6.22,30.737,39.578,340.16,96.23615625,379,3.2294212218649516,3.17,0
Mon Jul  6 01:34:24 2020,6.221,30.679,40.187,405.76,96.237855468,452,3.8508278411830896,4.007,0
Mon Jul  6 01:34:31 2020,6.22,30.666,39.758,405.12,96.235078125,477,4.064469453376206,3.962,0
Mon Jul  6 01:34:38 2020,6.22,30.659,40.516,407.36,96.234359375,493,4.2008038585209,4.081,0
Mon Jul  6 01:34:45 2020,6.218,30.596,40.802,404.8,96.235625,496,4.227725956899325,4.196,0
Mon Jul  6 01:34:52 2020,6.221,30.598,40.577,414.72,96.236976562,506,4.310882494775759,4.209,0
Mon Jul  6 01:34:59 2020,6.216,30.5,40.069,282.56,96.238449218,54,0.4604247104247104,0.225,0
Mon Jul  6 01:35:06 2020,6.215,30.608,42.127,51.12,96.236046875,0,0.0,0.376,0
Mon Jul  6 01:35:13 2020,6.215,30.611,40.988,101.04,96.236945312,3,0.025583266291230894,0.116,0
Mon Jul  6 01:35:20 2020,6.216,30.775,39.158,17.28,96.239726562,5,0.04263191763191763,0.141,0
