EarthPod Sensor Log
Created: Mon Jul  6 04:24:23 2020

Measurement Time,Time Step (s),Temperature (C),Humidity (%),Light (lux),Pressure (kPa),Interrupt Counter (counts/time step),Wind (m/s),Airflow (m/s),Airflow Ambient Temp (C),Airflow Error
Mon Jul  6 16:50:48 2020,6.212,33.781,26.939,1916.16,96.695382812,16,0.1365099806825499,0.135,46.77,0
Mon Jul  6 16:50:55 2020,6.213,33.859,27.444,2044.16,96.697074218,0,0.0,0.222,44.18,0
Mon Jul  6 16:51:02 2020,6.211,33.907,25.407,2085.12,96.694554687,0,0.0,0.286,42.61,0
Mon Jul  6 16:51:09 2020,6.211,33.99,27.755,2069.76,96.696367187,0,0.0,0.377,38.62,0
Mon Jul  6 16:51:16 2020,6.212,34.083,27.427,2007.04,96.699363281,0,0.0,0.118,47.81,0
Mon Jul  6 16:51:23 2020,6.211,34.111,26.879,2104.32,96.695820312,0,0.0,0.167,46.1,0
Mon Jul  6 16:51:30 2020,6.216,34.229,28.498,2090.24,96.697542968,0,0.0,0.146,46.71,0
Mon Jul  6 16:51:37 2020,6.214,34.307,27.993,2009.6,96.694945312,0,0.0,0.251,44.24,0
Mon Jul  6 16:51:44 2020,6.215,34.375,29.014,1710.08,96.696738281,0,0.0,0.185,45.87,0
Mon Jul  6 16:51:51 2020,6.216,34.443,29.714,1649.92,96.699117187,0,0.0,0.108,48.0,0
Mon Jul  6 16:51:58 2020,6.212,34.531,29.612,1648.64,96.699113281,0,0.0,0.141,47.96,0
Mon Jul  6 16:52:05 2020,6.213,34.544,30.346,1520.64,96.699265625,0,0.0,0.236,44.71,0
Mon Jul  6 16:52:12 2020,6.215,34.657,29.435,1715.2,96.698742187,0,0.0,0.091,48.48,0
Mon Jul  6 16:52:19 2020,6.212,34.735,28.363,1832.96,96.69878125,0,0.0,0.116,48.88,0
Mon Jul  6 16:52:26 2020,6.215,34.783,26.618,1433.6,96.692089843,0,0.0,0.106,49.58,0
Mon Jul  6 16:52:33 2020,6.214,34.836,27.276,1574.4,96.693199218,0,0.0,0.173,47.55,0
Mon Jul  6 16:52:40 2020,6.214,34.939,28.816,1642.24,96.694300781,0,0.0,0.091,49.71,0
Mon Jul  6 16:52:47 2020,6.206,35.002,26.971,1639.68,96.696199218,8,0.06832097969706734,0.335,41.68,0
Mon Jul  6 16:52:54 2020,6.214,35.045,27.552,1367.04,96.694933593,0,0.0,0.144,48.19,0
Mon Jul  6 16:53:02 2020,6.214,35.097,27.355,1364.48,96.694964843,0,0.0,0.515,40.03,0
Mon Jul  6 16:53:09 2020,6.213,35.16,23.695,1393.92,96.695691406,0,0.0,0.8,38.27,0
Mon Jul  6 16:53:16 2020,6.214,35.228,23.483,1437.44,96.693113281,0,0.0,0.678,38.61,0
Mon Jul  6 16:53:23 2020,6.212,35.246,21.629,1367.04,96.69459375,0,0.0,0.487,38.17,0
Mon Jul  6 16:53:30 2020,6.211,35.344,22.225,1365.76,96.6953125,0,0.0,0.426,39.06,0
Mon Jul  6 16:53:37 2020,6.217,35.387,22.27,1405.44,96.696363281,0,0.0,0.184,45.46,0
Mon Jul  6 16:53:44 2020,6.21,35.47,21.859,1374.72,96.699386718,0,0.0,0.117,48.72,0
Mon Jul  6 16:53:51 2020,6.213,35.478,23.185,1473.28,96.6939375,0,0.0,0.121,48.9,0
Mon Jul  6 16:53:58 2020,6.216,35.576,24.49,1469.44,96.693277343,0,0.0,0.134,48.81,0
Mon Jul  6 16:54:05 2020,6.213,35.684,26.045,1529.6,96.695796875,0,0.0,0.257,43.58,0
Mon Jul  6 16:54:12 2020,6.212,35.717,26.773,1552.64,96.695074218,0,0.0,0.253,44.81,0
Mon Jul  6 16:54:19 2020,6.213,35.8,27.278,1671.68,96.696992187,0,0.0,0.286,42.37,0
Mon Jul  6 16:54:26 2020,6.212,35.838,26.483,1765.12,96.698160156,0,0.0,0.314,42.02,0
Mon Jul  6 16:54:33 2020,6.211,35.85,27.284,1944.32,96.698765625,0,0.0,0.369,39.68,0
Mon Jul  6 16:54:40 2020,6.214,35.918,27.899,2151.68,96.700066406,0,0.0,0.456,38.54,0
Mon Jul  6 16:54:47 2020,6.212,36.032,28.211,2256.64,96.703644531,0,0.0,0.474,37.81,0
Mon Jul  6 16:54:54 2020,6.213,36.059,28.073,2348.8,96.702742187,0,0.0,0.159,46.61,0
Mon Jul  6 16:55:01 2020,6.212,36.178,27.409,2201.6,96.701875,0,0.0,0.272,44.05,0
Mon Jul  6 16:55:08 2020,6.211,36.22,26.889,1978.88,96.699933593,0,0.0,0.344,41.28,0
Mon Jul  6 16:55:15 2020,6.214,36.293,25.346,1968.64,96.701,0,0.0,0.225,45.27,0
Mon Jul  6 16:55:22 2020,6.212,36.336,23.031,2211.84,96.698011718,0,0.0,0.544,39.51,0
Mon Jul  6 16:55:29 2020,6.212,36.354,22.898,2859.52,96.7036875,0,0.0,0.348,40.49,0
Mon Jul  6 16:55:36 2020,6.212,36.442,23.318,2549.76,96.695027343,0,0.0,0.41,39.15,0
Mon Jul  6 16:55:44 2020,6.217,36.485,22.886,2777.6,96.697554687,0,0.0,0.424,38.88,0
Mon Jul  6 16:55:51 2020,6.213,36.553,23.675,4213.76,96.701234375,0,0.0,0.233,44.16,0
Mon Jul  6 16:55:58 2020,6.213,36.59,23.875,4247.04,96.703765625,0,0.0,0.36,40.74,0
Mon Jul  6 16:56:05 2020,6.215,36.699,24.533,4226.56,96.7026875,0,0.0,0.303,40.78,0
Mon Jul  6 16:56:12 2020,6.215,36.772,24.021,4134.4,96.704277343,0,0.0,0.241,43.78,0
Mon Jul  6 16:56:19 2020,6.209,36.85,24.401,4175.36,96.705699218,0,0.0,0.164,45.54,0
Mon Jul  6 16:56:26 2020,6.215,36.913,24.211,3673.6,96.705988281,0,0.0,0.264,43.24,0
Mon Jul  6 16:56:33 2020,6.212,36.95,23.822,3097.6,96.703234375,0,0.0,0.262,42.74,0
Mon Jul  6 16:56:40 2020,6.224,37.034,25.856,3893.76,96.703886718,23,0.19585475578406167,0.764,37.63,0
Mon Jul  6 16:56:47 2020,6.215,37.081,24.426,3648.0,96.705375,0,0.0,0.399,38.18,0
Mon Jul  6 16:56:54 2020,6.259,37.164,24.443,3878.4,96.706160156,25,0.21169515897108163,0.389,38.97,0
Mon Jul  6 16:57:01 2020,6.212,37.222,23.751,3496.96,96.701527343,0,0.0,0.28,41.93,0
Mon Jul  6 16:57:08 2020,6.216,37.255,23.777,3376.64,96.702574218,0,0.0,0.514,37.84,0
Mon Jul  6 16:57:15 2020,6.214,37.323,23.26,3041.28,96.699308593,0,0.0,0.327,40.26,0
Mon Jul  6 16:57:22 2020,6.213,37.411,21.437,2705.92,96.701394531,0,0.0,0.289,42.09,0
Mon Jul  6 16:57:29 2020,6.214,37.419,22.46,2598.4,96.700328125,0,0.0,0.659,38.33,0
Mon Jul  6 16:57:36 2020,6.212,37.467,22.343,2557.44,96.70190625,0,0.0,0.538,37.45,0
Mon Jul  6 16:57:43 2020,6.213,37.514,22.085,2094.08,96.70278125,0,0.0,0.413,37.62,0
Mon Jul  6 16:57:50 2020,6.215,37.522,21.476,1738.24,96.703453125,0,0.0,0.594,37.83,0
Mon Jul  6 16:57:57 2020,6.212,37.565,22.47,1594.88,96.702183593,0,0.0,0.348,39.44,0
Mon Jul  6 16:58:04 2020,6.214,37.593,22.611,1550.08,96.702457031,0,0.0,0.154,46.56,0
Mon Jul  6 16:58:11 2020,6.215,37.64,23.303,1574.4,96.703191406,0,0.0,0.154,47.14,0
Mon Jul  6 16:58:19 2020,6.211,37.718,23.661,1583.36,96.702523437,0,0.0,0.512,38.1,0
Mon Jul  6 16:58:26 2020,6.213,37.706,22.604,1606.4,96.703527343,0,0.0,0.587,37.75,0
Mon Jul  6 16:58:33 2020,6.215,37.744,22.117,1583.36,96.7016875,0,0.0,0.285,41.39,0
Mon Jul  6 16:58:40 2020,6.213,37.812,21.966,1553.92,96.705097656,0,0.0,0.23,44.1,0
Mon Jul  6 16:58:47 2020,6.212,37.824,23.03,1533.44,96.704832031,0,0.0,0.622,38.67,0
Mon Jul  6 16:58:54 2020,6.216,37.857,23.513,1525.76,96.708011718,0,0.0,0.92,37.49,0
Mon Jul  6 16:59:01 2020,6.211,37.94,22.721,1520.64,96.702285156,0,0.0,0.331,40.06,0
Mon Jul  6 16:59:08 2020,6.216,37.927,22.952,1495.04,96.701714843,0,0.0,0.423,38.6,0
Mon Jul  6 16:59:15 2020,6.214,37.945,24.009,1463.04,96.702785156,0,0.0,0.525,39.17,0
Mon Jul  6 16:59:22 2020,6.213,37.978,25.378,1515.52,96.702382812,0,0.0,0.617,37.96,0
Mon Jul  6 16:59:29 2020,6.212,38.051,23.088,1463.04,96.70140625,0,0.0,0.748,37.81,0
Mon Jul  6 16:59:36 2020,6.214,38.063,21.862,1446.4,96.702742187,0,0.0,0.455,38.24,0
Mon Jul  6 16:59:43 2020,6.214,38.081,21.604,1472.0,96.706953125,0,0.0,0.765,37.74,0
Mon Jul  6 16:59:50 2020,6.212,38.124,21.676,1506.56,96.702699218,0,0.0,0.505,37.78,0
Mon Jul  6 16:59:57 2020,6.215,38.116,22.434,1463.04,96.704035156,0,0.0,0.48,38.43,0
Mon Jul  6 17:00:04 2020,6.211,38.139,22.613,1480.96,96.702390625,0,0.0,0.527,37.53,0
Mon Jul  6 17:00:11 2020,6.214,38.187,21.482,1483.52,96.705,0,0.0,0.405,38.06,0
Mon Jul  6 17:00:18 2020,6.217,38.219,22.991,1379.84,96.704621093,0,0.0,0.368,38.85,0
Mon Jul  6 17:00:25 2020,6.211,38.212,22.639,1304.32,96.704382812,0,0.0,0.415,38.27,0
Mon Jul  6 17:00:32 2020,6.21,38.245,22.515,1315.84,96.702769531,0,0.0,0.284,42.19,0
Mon Jul  6 17:00:39 2020,6.215,38.297,23.316,1443.84,96.708289062,0,0.0,0.129,47.54,0
Mon Jul  6 17:00:46 2020,6.216,38.33,24.243,1442.56,96.704898437,0,0.0,0.386,39.75,0
Mon Jul  6 17:00:53 2020,6.213,38.358,24.937,1460.48,96.705058593,0,0.0,0.532,38.28,0
Mon Jul  6 17:01:00 2020,6.212,38.33,24.89,1441.28,96.706394531,0,0.0,0.519,37.78,0
Mon Jul  6 17:01:08 2020,6.21,38.388,23.182,1365.76,96.706050781,0,0.0,0.321,40.66,0
Mon Jul  6 17:01:15 2020,6.212,38.416,22.055,1368.32,96.707179687,0,0.0,0.52,38.16,0
Mon Jul  6 17:01:22 2020,6.218,38.443,22.831,1268.48,96.708050781,0,0.0,0.678,37.49,0
Mon Jul  6 17:01:29 2020,6.213,38.416,23.117,1295.36,96.706867187,0,0.0,0.766,37.09,0
Mon Jul  6 17:01:36 2020,6.213,38.449,23.045,1221.12,96.707863281,0,0.0,0.338,39.7,0
Mon Jul  6 17:01:43 2020,6.213,38.516,23.934,1280.64,96.707585937,0,0.0,0.36,39.39,0
Mon Jul  6 17:01:50 2020,6.211,38.524,24.617,1221.12,96.710160156,0,0.0,0.285,42.33,0
Mon Jul  6 17:01:57 2020,6.212,38.537,24.194,1253.76,96.711519531,0,0.0,0.222,44.81,0
Mon Jul  6 17:02:04 2020,6.215,38.6,24.87,1222.4,96.710976562,0,0.0,0.631,38.51,0
Mon Jul  6 17:02:11 2020,6.214,38.552,24.264,1207.68,96.710703125,0,0.0,0.594,38.18,0
Mon Jul  6 17:02:18 2020,6.213,38.63,22.813,1194.88,96.710964843,0,0.0,0.583,38.18,0
Mon Jul  6 17:02:25 2020,6.216,38.642,24.105,1188.48,96.706164062,0,0.0,0.254,43.13,0
Mon Jul  6 17:02:32 2020,6.215,38.68,23.274,1184.0,96.707328125,0,0.0,0.427,39.19,0
Mon Jul  6 17:02:39 2020,6.216,38.673,24.185,1179.52,96.707480468,0,0.0,0.31,40.96,0
Mon Jul  6 17:02:46 2020,6.214,38.736,23.454,1193.6,96.706867187,0,0.0,0.237,43.46,0
Mon Jul  6 17:02:53 2020,6.214,38.738,24.285,1202.56,96.708363281,0,0.0,0.32,40.96,0
Mon Jul  6 17:03:00 2020,6.212,38.746,25.602,1209.6,96.707683593,0,0.0,0.229,43.54,0
Mon Jul  6 17:03:07 2020,6.216,38.758,25.051,1227.52,96.707035156,0,0.0,0.214,45.43,0
Mon Jul  6 17:03:14 2020,6.212,38.776,24.562,1194.88,96.711210937,0,0.0,0.234,44.63,0
Mon Jul  6 17:03:21 2020,6.21,38.793,24.316,1231.36,96.708191406,0,0.0,0.306,42.87,0
Mon Jul  6 17:03:28 2020,6.214,38.811,22.563,1212.8,96.707472656,0,0.0,0.103,48.1,0
Mon Jul  6 17:03:35 2020,6.212,38.819,23.361,1205.12,96.708867187,0,0.0,0.347,41.44,0
Mon Jul  6 17:03:42 2020,6.213,38.841,24.192,1230.08,96.708320312,0,0.0,0.463,38.69,0
Mon Jul  6 17:03:49 2020,6.214,38.869,24.868,1200.0,96.7106875,0,0.0,0.474,38.19,0
Mon Jul  6 17:03:57 2020,6.21,38.917,24.037,1286.4,96.708332031,0,0.0,0.365,39.24,0
Mon Jul  6 17:04:04 2020,6.212,38.929,23.8,1364.48,96.709894531,0,0.0,0.123,48.34,0
Mon Jul  6 17:04:11 2020,6.216,38.947,23.707,1209.6,96.710792968,0,0.0,0.468,38.88,0
Mon Jul  6 17:04:18 2020,6.212,38.939,22.97,1249.92,96.708597656,0,0.0,0.378,39.72,0
Mon Jul  6 17:04:25 2020,6.211,39.002,23.524,1235.2,96.709257812,0,0.0,0.312,41.78,0
Mon Jul  6 17:04:32 2020,6.216,38.975,23.861,1413.12,96.711988281,0,0.0,0.245,44.41,0
Mon Jul  6 17:04:39 2020,6.214,39.028,24.72,1323.52,96.70959375,0,0.0,0.121,48.54,0
Mon Jul  6 17:04:46 2020,6.211,39.085,24.136,1288.32,96.711359375,0,0.0,0.113,49.3,0
Mon Jul  6 17:04:53 2020,6.213,39.043,23.735,1209.6,96.7113125,0,0.0,0.151,48.28,0
Mon Jul  6 17:05:00 2020,6.216,39.05,23.455,1218.56,96.710457031,0,0.0,0.338,41.93,0
Mon Jul  6 17:05:07 2020,6.211,39.083,24.089,1269.12,96.710882812,0,0.0,0.285,42.48,0
Mon Jul  6 17:05:14 2020,6.218,39.171,22.799,1285.12,96.71184375,0,0.0,0.223,45.53,0
Mon Jul  6 17:05:21 2020,6.212,39.138,22.975,1232.64,96.709417968,0,0.0,0.413,39.57,0
Mon Jul  6 17:05:28 2020,6.213,39.131,23.437,1207.68,96.707492187,0,0.0,0.197,45.35,0
Mon Jul  6 17:05:35 2020,6.216,39.179,24.568,1202.56,96.707472656,0,0.0,0.326,41.39,0
Mon Jul  6 17:05:42 2020,6.211,39.196,24.389,1207.04,96.7075625,0,0.0,0.532,38.66,0
Mon Jul  6 17:05:49 2020,6.215,39.269,23.411,1208.32,96.705605468,0,0.0,0.367,40.0,0
Mon Jul  6 17:05:56 2020,6.215,39.252,23.266,1214.08,96.702875,0,0.0,0.369,40.25,0
Mon Jul  6 17:06:03 2020,6.212,39.284,22.004,1214.72,96.702566406,0,0.0,0.166,46.98,0
Mon Jul  6 17:06:10 2020,6.212,39.267,21.282,1237.12,96.703289062,0,0.0,0.61,38.77,0
Mon Jul  6 17:06:17 2020,6.213,39.315,23.005,1216.0,96.702671875,0,0.0,0.463,38.3,0
Mon Jul  6 17:06:24 2020,6.213,39.332,23.223,1217.28,96.703101562,0,0.0,0.461,38.41,0
Mon Jul  6 17:06:31 2020,6.211,39.395,22.276,1216.0,96.701746093,0,0.0,0.233,44.26,0
Mon Jul  6 17:06:38 2020,6.215,39.393,23.397,1219.2,96.702535156,0,0.0,0.471,39.43,0
Mon Jul  6 17:06:45 2020,6.21,39.375,22.294,1210.88,96.70353125,0,0.0,0.378,40.03,0
Mon Jul  6 17:06:53 2020,6.215,39.403,21.548,1227.52,96.702335937,0,0.0,0.524,39.45,0
Mon Jul  6 17:07:00 2020,6.216,39.405,20.597,1212.16,96.700417968,0,0.0,0.276,42.96,0
Mon Jul  6 17:07:07 2020,6.215,39.443,21.072,1217.92,96.700101562,0,0.0,0.139,48.08,0
Mon Jul  6 17:07:14 2020,6.211,39.446,22.578,1226.24,96.700449218,0,0.0,0.234,44.54,0
Mon Jul  6 17:07:21 2020,6.217,39.503,22.732,1199.36,96.702984375,0,0.0,0.402,39.51,0
Mon Jul  6 17:07:28 2020,6.213,39.496,22.349,1223.04,96.703742187,1,0.008530500563334943,0.379,39.66,0
Mon Jul  6 17:07:35 2020,6.212,39.493,22.744,1243.52,96.705835937,0,0.0,0.107,48.19,0
Mon Jul  6 17:07:42 2020,6.218,39.506,22.395,1256.96,96.701609375,0,0.0,0.377,40.9,0
Mon Jul  6 17:07:49 2020,6.212,39.514,21.801,1213.44,96.701421875,0,0.0,0.372,40.46,0
Mon Jul  6 17:07:56 2020,6.211,39.521,22.639,1226.24,96.700667968,0,0.0,0.406,39.98,0
Mon Jul  6 17:08:03 2020,6.218,39.529,23.208,1214.72,96.701226562,0,0.0,0.384,39.62,0
Mon Jul  6 17:08:10 2020,6.212,39.587,22.923,1226.88,96.704152343,0,0.0,0.278,42.75,0
Mon Jul  6 17:08:17 2020,6.214,39.609,23.742,1252.48,96.705070312,0,0.0,0.509,39.33,0
Mon Jul  6 17:08:24 2020,6.215,39.576,21.272,1244.8,96.705199218,0,0.0,0.489,39.19,0
Mon Jul  6 17:08:31 2020,6.212,39.634,22.155,1255.68,96.705421875,0,0.0,0.428,39.97,0
Mon Jul  6 17:08:38 2020,6.213,39.617,22.587,1260.16,96.7035,0,0.0,0.299,41.58,0
Mon Jul  6 17:08:45 2020,6.216,39.685,21.591,1236.48,96.706609375,0,0.0,0.42,38.68,0
Mon Jul  6 17:08:52 2020,6.211,39.672,21.269,1263.36,96.703078125,0,0.0,0.623,38.22,0
Mon Jul  6 17:08:59 2020,6.214,39.685,21.722,1246.08,96.702296875,0,0.0,0.541,37.8,0
Mon Jul  6 17:09:06 2020,6.216,39.672,21.061,1253.12,96.705777343,0,0.0,0.636,37.54,0
Mon Jul  6 17:09:13 2020,6.215,39.7,22.467,1253.76,96.702113281,0,0.0,0.665,37.85,0
Mon Jul  6 17:09:20 2020,6.212,39.733,23.066,1255.04,96.702570312,0,0.0,0.716,37.45,0
Mon Jul  6 17:09:27 2020,6.213,39.73,21.673,1283.84,96.699808593,0,0.0,0.379,39.24,0
Mon Jul  6 17:09:34 2020,6.214,39.773,22.425,1277.44,96.699859375,0,0.0,0.441,37.94,0
Mon Jul  6 17:09:42 2020,6.213,39.765,22.409,1252.48,96.701363281,0,0.0,0.819,37.86,0
Mon Jul  6 17:09:49 2020,6.215,39.763,22.554,1250.56,96.700019531,0,0.0,0.23,43.17,0
Mon Jul  6 17:09:56 2020,6.213,39.811,21.53,1288.32,96.700445312,0,0.0,0.512,39.2,0
Mon Jul  6 17:10:03 2020,6.212,39.803,21.287,1248.64,96.700242187,0,0.0,0.481,38.24,0
Mon Jul  6 17:10:10 2020,6.218,39.806,21.401,1236.48,96.69775,0,0.0,0.393,38.34,0
Mon Jul  6 17:10:17 2020,6.213,39.823,21.653,1251.84,96.700144531,0,0.0,0.145,45.99,0
Mon Jul  6 17:10:24 2020,6.212,39.826,21.054,1238.4,96.700773437,0,0.0,0.352,40.21,0
Mon Jul  6 17:10:31 2020,6.216,39.823,21.778,1256.96,96.700960937,0,0.0,0.239,44.14,0
Mon Jul  6 17:10:38 2020,6.213,39.816,22.714,1250.56,96.702417968,0,0.0,0.345,40.76,0
Mon Jul  6 17:10:45 2020,6.215,39.869,22.279,1243.52,96.701234375,0,0.0,0.391,39.06,0
Mon Jul  6 17:10:52 2020,6.217,39.861,23.48,1233.92,96.702824218,0,0.0,0.407,38.68,0
Mon Jul  6 17:10:59 2020,6.212,39.894,23.68,1212.16,96.705960937,0,0.0,0.479,38.11,0
Mon Jul  6 17:11:06 2020,6.21,39.901,23.001,1204.48,96.700910156,0,0.0,0.524,38.01,0
Mon Jul  6 17:11:13 2020,6.212,39.904,22.483,1177.6,96.703632812,0,0.0,0.705,37.56,0
Mon Jul  6 17:11:20 2020,6.214,39.931,20.614,1177.6,96.701917968,0,0.0,0.872,38.19,0
Mon Jul  6 17:11:27 2020,6.214,39.974,21.311,1171.2,96.702128906,0,0.0,0.858,36.81,0
Mon Jul  6 17:11:34 2020,6.215,39.911,21.185,1178.24,96.702933593,0,0.0,0.878,37.34,0
Mon Jul  6 17:11:41 2020,6.212,39.959,22.685,1176.96,96.701617187,0,0.0,0.64,37.08,0
Mon Jul  6 17:11:48 2020,6.212,39.947,22.335,1172.48,96.704496093,0,0.0,0.611,37.35,0
Mon Jul  6 17:11:55 2020,6.215,39.974,21.485,1180.8,96.698140625,0,0.0,0.701,37.5,0
Mon Jul  6 17:12:02 2020,6.212,39.977,22.149,1192.32,96.700214843,0,0.0,0.643,37.37,0
Mon Jul  6 17:12:09 2020,6.211,39.999,21.595,1190.4,96.697683593,0,0.0,0.418,38.0,0
Mon Jul  6 17:12:16 2020,6.218,39.952,21.057,1192.96,96.697175781,0,0.0,0.383,38.53,0
Mon Jul  6 17:12:23 2020,6.21,39.979,19.914,1208.96,96.696664062,0,0.0,0.288,41.55,0
Mon Jul  6 17:12:30 2020,6.21,39.987,21.356,1179.52,96.696007812,0,0.0,0.627,37.75,0
Mon Jul  6 17:12:38 2020,6.215,40.009,21.946,1230.08,96.6983125,0,0.0,0.129,46.1,0
Mon Jul  6 17:12:45 2020,6.213,40.027,19.815,1181.44,96.696074218,0,0.0,0.317,41.93,0
Mon Jul  6 17:12:52 2020,6.213,39.969,19.831,1173.76,96.703175781,0,0.0,0.725,38.4,0
Mon Jul  6 17:12:59 2020,6.213,39.997,21.072,1183.36,96.697664062,0,0.0,0.715,37.72,0
Mon Jul  6 17:13:06 2020,6.214,40.03,21.763,1195.52,96.699304687,0,0.0,0.482,38.18,0
Mon Jul  6 17:13:13 2020,6.213,40.032,20.501,1334.4,96.699964843,0,0.0,0.613,37.81,0
