year,month,day,hour,minute,second,time step,wind,gyro x,gyro y,gyro z,accel x,accel y,accel z,mag x,mag y,mag z,temperature,pressure,altitude,humidity,r,g,b,vis,ir,uv
2020,9,16,11,14,53,5.73,0.00,0.00,-0.00,0.00,-9.36,-0.70,0.64,11.50,14.20,-127.10,31.30,969.80,368.21,18.52,2987,2592,2677,326,1395,0.39
2020,9,16,11,14,59,5.74,0.00,-0.01,0.00,0.01,-9.37,-0.70,0.63,12.10,13.50,-131.60,31.36,969.80,368.16,18.50,3249,2923,3051,332,1449,0.40
2020,9,16,11,15,5,5.74,0.00,-0.01,-0.00,0.01,-9.37,-0.71,0.65,12.20,13.60,-130.60,31.48,969.78,368.33,18.23,3242,2928,3065,334,1465,0.41
2020,9,16,11,15,11,5.74,0.00,0.00,-0.01,0.01,-9.35,-0.71,0.61,13.10,12.90,-130.50,31.61,969.82,368.06,18.22,3409,3069,3214,326,1366,0.37
2020,9,16,11,15,16,5.74,0.00,-0.00,0.01,0.01,-9.35,-0.71,0.62,14.00,15.00,-133.60,31.76,969.80,368.22,18.30,3143,2818,2956,325,1366,0.36
2020,9,16,11,15,22,5.74,0.00,0.00,-0.00,0.01,-9.36,-0.69,0.62,15.10,15.20,-132.80,31.94,969.80,368.21,17.95,3474,3081,3242,338,1504,0.43
2020,9,16,11,15,28,5.74,0.01,0.00,0.00,0.01,-9.36,-0.68,0.62,12.80,19.00,-135.00,32.09,969.81,368.00,16.96,3347,2984,3138,333,1443,0.41
2020,9,16,11,15,34,5.74,0.00,0.00,0.00,0.01,-9.36,-0.70,0.61,13.40,17.80,-135.60,32.26,969.79,368.26,16.79,3287,2958,3103,334,1458,0.41
2020,9,16,11,15,39,5.74,0.00,0.00,-0.00,0.01,-9.36,-0.68,0.64,13.30,19.30,-134.90,32.41,969.78,368.37,16.36,3394,3019,3178,335,1482,0.42
2020,9,16,11,15,45,5.74,0.00,-0.00,-0.00,0.01,-9.38,-0.70,0.63,14.00,17.20,-132.80,32.55,969.78,368.38,16.94,3281,2957,3093,340,1540,0.45
2020,9,16,11,15,51,5.73,0.00,-0.00,-0.00,0.01,-9.36,-0.71,0.63,14.30,18.50,-133.10,32.66,969.78,368.36,17.15,3310,2981,3125,335,1493,0.42
2020,9,16,11,15,57,5.73,0.00,0.00,-0.00,0.01,-9.38,-0.71,0.61,14.40,17.60,-133.10,32.78,969.78,368.38,16.55,3356,2987,3144,331,1429,0.40
2020,9,16,11,16,2,5.74,0.00,-0.00,0.00,0.01,-9.36,-0.70,0.61,15.10,16.90,-134.20,32.89,969.79,368.29,18.48,3402,3020,3179,335,1475,0.42
2020,9,16,11,16,8,5.73,0.00,-0.00,-0.00,0.01,-9.38,-0.71,0.59,15.20,18.40,-132.70,33.00,969.80,368.19,16.77,3449,3023,3189,328,1392,0.38
2020,9,16,11,16,14,5.74,0.00,0.01,-0.00,0.01,-9.36,-0.70,0.64,13.40,16.30,-132.50,33.12,969.81,368.10,16.52,3342,3001,3147,328,1384,0.38
2020,9,16,11,16,20,5.74,0.00,0.00,0.00,0.01,-9.37,-0.70,0.63,13.90,15.60,-133.00,33.21,969.83,367.91,17.11,3328,2994,3132,329,1418,0.38
2020,9,16,11,16,25,5.74,0.00,0.00,-0.01,0.01,-9.36,-0.71,0.61,14.70,16.40,-133.00,33.33,969.84,367.83,17.51,3361,3010,3165,324,1352,0.36
2020,9,16,11,16,31,5.74,0.00,-0.00,-0.00,0.01,-9.35,-0.70,0.61,15.20,16.70,-131.60,33.39,969.83,367.91,17.10,3285,2963,3105,323,1338,0.35
2020,9,16,11,16,37,5.73,0.00,0.00,-0.00,0.01,-9.37,-0.72,0.61,14.00,16.10,-133.50,33.52,969.83,367.93,17.92,3230,2918,3058,323,1344,0.35
2020,9,16,11,16,42,5.74,0.00,0.01,-0.00,0.01,-9.36,-0.70,0.62,14.30,15.70,-132.10,33.63,969.83,367.91,18.41,3193,2886,3023,321,1311,0.34
2020,9,16,11,16,48,5.73,0.00,0.00,-0.00,0.01,-9.37,-0.71,0.62,14.50,16.30,-130.50,33.70,969.82,368.04,16.56,3168,2868,3007,311,1221,0.29
2020,9,16,11,16,54,5.74,0.00,-0.00,-0.00,0.01,-9.35,-0.71,0.63,14.80,16.70,-133.00,33.77,969.83,367.97,16.49,3167,2867,3005,314,1232,0.30
2020,9,16,11,17,0,5.74,0.00,0.01,0.00,0.01,-9.38,-0.71,0.64,15.10,15.50,-131.70,33.84,969.81,368.14,16.12,3163,2863,2998,319,1285,0.33
2020,9,16,11,17,5,5.74,0.00,0.00,-0.00,0.01,-9.35,-0.72,0.63,14.50,15.20,-132.10,33.92,969.82,368.06,16.33,3146,2847,2983,314,1247,0.31
2020,9,16,11,17,11,5.74,0.00,0.00,-0.00,0.01,-9.35,-0.70,0.63,14.70,15.20,-132.30,33.97,969.80,368.18,16.91,3045,2721,2834,313,1225,0.30
2020,9,16,11,17,17,5.73,0.00,-0.00,-0.00,0.01,-9.36,-0.71,0.64,15.20,16.00,-130.40,34.02,969.79,368.23,16.36,3012,2694,2806,313,1228,0.30
2020,9,16,11,17,23,5.74,0.00,0.01,-0.01,0.01,-9.35,-0.71,0.67,14.60,14.60,-131.80,34.07,969.82,368.04,16.19,2984,2669,2780,313,1210,0.30
2020,9,16,11,17,28,5.74,0.00,0.01,-0.01,0.01,-9.36,-0.70,0.63,13.90,13.50,-130.50,34.11,969.80,368.16,18.59,2936,2574,2667,312,1224,0.30
2020,9,16,11,17,34,5.74,0.00,0.00,-0.00,0.00,-9.37,-0.72,0.62,-5.30,10.70,-118.40,34.14,969.82,368.07,19.99,2915,2592,2696,313,1221,0.30
2020,9,16,11,17,40,5.74,0.01,0.01,-0.00,0.01,-9.37,-0.72,0.65,-16.40,7.50,-122.90,34.17,969.80,368.17,17.45,3907,2979,3214,315,1237,0.31
2020,9,16,11,17,46,5.74,0.04,0.00,-0.00,0.01,-9.37,-0.71,0.67,-0.30,15.60,-119.50,34.20,969.82,368.04,16.29,2944,2570,2663,312,1227,0.30
2020,9,16,11,17,51,5.74,0.18,-0.00,-0.01,0.02,-9.36,-0.68,0.67,4.70,25.20,-121.90,34.23,969.83,367.92,16.17,3439,2732,2842,313,1227,0.30
2020,9,16,11,17,57,5.73,0.00,0.00,-0.00,0.00,-9.37,-0.70,0.67,5.00,13.00,-122.70,34.26,969.81,368.13,15.65,2873,2425,2494,315,1251,0.31
2020,9,16,11,18,3,5.74,0.03,0.00,-0.00,0.01,-9.36,-0.70,0.67,6.20,27.70,-125.90,34.29,969.80,368.21,15.72,3184,2758,2902,319,1290,0.33
2020,9,16,11,18,9,5.74,0.00,-0.00,-0.00,0.01,-9.37,-0.70,0.67,3.10,24.50,-121.30,34.31,969.81,368.11,15.30,3556,2896,3024,317,1280,0.32
2020,9,16,11,18,14,5.74,0.00,0.00,-0.01,0.01,-9.36,-0.69,0.66,15.00,15.60,-131.00,34.36,969.85,367.78,15.20,3707,2938,3153,314,1248,0.31
2020,9,16,11,18,20,5.74,0.00,-0.00,-0.00,0.01,-9.37,-0.69,0.68,14.40,15.70,-130.20,34.42,969.81,368.08,15.08,3197,2845,3001,314,1215,0.31
2020,9,16,11,18,26,5.73,0.00,0.01,-0.01,0.01,-9.36,-0.69,0.64,13.80,13.70,-131.50,34.47,969.82,367.99,15.64,3020,2723,2850,311,1217,0.29
2020,9,16,11,18,31,5.75,0.00,0.00,-0.00,0.01,-9.35,-0.73,0.65,7.20,21.80,-120.10,34.50,969.82,368.02,15.79,3058,2482,2560,313,1218,0.30
2020,9,16,11,18,37,5.73,0.00,-0.00,-0.00,0.01,-9.36,-0.73,0.65,8.80,10.70,-126.00,34.54,969.80,368.23,15.18,3237,2839,3004,312,1221,0.30
2020,9,16,11,18,43,5.73,0.00,0.00,0.00,0.01,-9.36,-0.71,0.67,9.40,10.80,-126.00,34.57,969.79,368.28,16.29,3406,2875,3059,314,1216,0.31
2020,9,16,11,18,49,5.73,0.00,-0.00,-0.01,0.01,-9.35,-0.69,0.66,10.30,10.60,-128.20,34.63,969.79,368.32,18.34,3337,2892,3066,316,1237,0.32
2020,9,16,11,18,54,5.75,0.00,0.00,-0.01,0.01,-9.36,-0.69,0.63,15.10,16.60,-130.70,34.70,969.78,368.36,17.63,3449,2916,3102,317,1273,0.32
2020,9,16,11,19,0,5.74,0.00,0.01,-0.01,0.01,-9.37,-0.70,0.66,14.70,17.20,-132.30,34.76,969.80,368.24,16.34,3176,2824,2979,313,1223,0.30
2020,9,16,11,19,6,5.74,0.00,-0.00,-0.00,0.01,-9.36,-0.71,0.65,14.80,15.60,-132.00,34.80,969.78,368.38,17.17,3201,2857,3011,314,1230,0.31
2020,9,16,11,19,12,5.74,0.00,0.00,-0.00,0.01,-9.35,-0.71,0.67,11.80,13.60,-125.30,34.85,969.79,368.32,15.76,2896,2553,2653,313,1215,0.30
2020,9,16,11,19,17,5.74,0.15,-0.00,0.01,0.01,-9.36,-0.69,0.67,-27.90,27.40,-131.60,34.89,969.79,368.28,14.85,3892,2786,2986,311,1219,0.29
2020,9,16,11,19,23,5.74,0.01,-0.00,-0.01,0.01,-9.36,-0.69,0.66,-37.10,15.00,-127.20,34.91,969.83,367.91,14.66,3940,2814,3034,313,1216,0.31
2020,9,16,11,19,29,5.74,0.00,0.00,-0.01,0.01,-9.37,-0.72,0.69,-1.70,17.00,-118.70,34.94,969.80,368.16,14.72,2804,2417,2495,313,1215,0.30
2020,9,16,11,19,35,5.75,0.00,0.00,-0.00,0.01,-9.36,-0.71,0.66,2.20,15.60,-119.60,34.96,969.79,368.24,14.83,2960,2426,2497,312,1217,0.30
2020,9,16,11,19,40,5.74,0.00,0.01,-0.01,0.01,-9.37,-0.71,0.67,2.60,12.00,-121.10,34.97,969.79,368.29,15.04,2783,2358,2428,313,1216,0.30
2020,9,16,11,19,46,5.74,0.00,-0.00,-0.00,0.01,-9.35,-0.70,0.67,7.30,9.90,-126.00,35.00,969.78,368.33,16.30,3139,2803,2953,312,1220,0.30
2020,9,16,11,19,52,5.74,0.00,0.01,-0.00,0.01,-9.35,-0.70,0.66,7.20,9.60,-123.50,35.02,969.79,368.33,14.44,3020,2724,2855,313,1219,0.30
2020,9,16,11,19,58,5.74,0.00,0.01,-0.01,0.01,-9.36,-0.71,0.66,5.60,12.20,-123.20,35.04,969.76,368.55,14.70,2859,2504,2595,312,1216,0.30
2020,9,16,11,20,3,5.74,0.00,-0.01,-0.01,0.01,-9.36,-0.72,0.67,5.80,13.10,-121.90,35.07,969.76,368.51,15.26,2807,2415,2492,314,1225,0.31
2020,9,16,11,20,9,5.74,0.00,0.01,-0.00,0.01,-9.37,-0.71,0.68,6.50,14.00,-121.60,35.10,969.75,368.64,15.13,2821,2429,2508,314,1231,0.31
2020,9,16,11,20,15,5.74,0.00,-0.00,-0.00,0.01,-9.36,-0.72,0.67,6.10,13.50,-121.30,35.12,969.77,368.49,15.34,2814,2406,2480,316,1245,0.32
2020,9,16,11,20,20,5.74,0.00,-0.01,-0.01,0.01,-9.36,-0.71,0.69,5.60,14.30,-121.00,35.14,969.76,368.58,14.97,2800,2357,2422,316,1260,0.32
2020,9,16,11,20,26,5.74,0.00,0.00,-0.00,0.01,-9.36,-0.73,0.67,7.10,15.60,-119.80,35.15,969.78,368.40,14.96,2817,2371,2437,315,1265,0.31
2020,9,16,11,20,32,5.74,0.00,0.01,-0.00,0.01,-9.36,-0.72,0.67,6.30,15.40,-119.80,35.15,969.77,368.49,15.46,2840,2386,2451,316,1272,0.32
2020,9,16,11,20,38,5.74,0.00,0.00,-0.01,0.01,-9.37,-0.71,0.65,6.70,15.40,-121.10,35.16,969.72,368.91,15.53,2859,2396,2461,316,1280,0.32
2020,9,16,11,20,43,5.74,0.00,-0.00,-0.01,0.01,-9.35,-0.72,0.68,6.60,15.50,-120.60,35.17,969.75,368.61,15.34,2879,2411,2477,318,1287,0.33
2020,9,16,11,20,49,5.74,0.00,0.01,0.00,0.01,-9.36,-0.72,0.68,6.50,15.90,-121.70,35.18,969.74,368.73,17.15,2891,2424,2490,321,1322,0.34
2020,9,16,11,20,55,5.74,0.00,0.01,-0.00,0.01,-9.36,-0.72,0.68,5.40,14.40,-120.90,35.18,969.75,368.60,16.90,2926,2454,2520,322,1320,0.35
2020,9,16,11,21,1,5.74,0.00,-0.00,-0.01,0.01,-9.37,-0.71,0.69,6.00,16.00,-120.10,35.18,969.75,368.67,17.02,2938,2464,2531,324,1352,0.36
2020,9,16,11,21,6,5.74,0.00,-0.00,-0.01,0.01,-9.36,-0.73,0.67,7.10,15.80,-120.00,35.19,969.74,368.75,16.72,2957,2479,2546,329,1407,0.39
2020,9,16,11,21,12,5.74,0.00,0.00,-0.01,0.01,-9.35,-0.71,0.69,7.40,15.70,-121.20,35.19,969.77,368.44,16.83,2986,2503,2571,332,1444,0.40
2020,9,16,11,21,18,5.74,0.00,0.00,-0.01,0.01,-9.36,-0.72,0.68,8.20,15.30,-120.50,35.18,969.73,368.84,16.08,3013,2525,2593,334,1459,0.42
2020,9,16,11,21,24,5.74,0.00,0.00,-0.00,0.01,-9.36,-0.73,0.68,8.40,15.40,-120.00,35.19,969.74,368.76,16.37,3047,2552,2621,336,1503,0.42
2020,9,16,11,21,29,5.74,0.00,0.00,-0.00,0.01,-9.37,-0.72,0.66,7.40,15.50,-119.50,35.18,969.74,368.75,17.04,3078,2565,2634,338,1515,0.43
2020,9,16,11,21,35,5.74,0.00,0.00,-0.00,0.01,-9.35,-0.73,0.69,7.50,16.50,-120.50,35.17,969.73,368.82,17.75,3063,2561,2629,342,1561,0.46
2020,9,16,11,21,41,5.74,0.00,0.00,-0.00,0.01,-9.35,-0.73,0.67,12.40,12.40,-129.50,35.17,969.74,368.70,21.33,3013,2519,2587,332,1454,0.40
2020,9,16,11,21,47,5.74,0.00,0.01,0.00,0.01,-9.36,-0.72,0.70,-5.90,16.20,-140.30,35.17,969.75,368.63,21.14,3001,2510,2577,329,1406,0.39
2020,9,16,11,21,52,5.74,0.02,-0.01,-0.01,0.01,-9.36,-0.73,0.68,3.60,14.60,-135.00,35.16,969.73,368.84,21.18,2989,2500,2567,327,1378,0.38
2020,9,16,11,21,58,5.74,0.00,-0.01,-0.00,0.01,-9.36,-0.73,0.68,12.00,13.60,-123.50,35.15,969.75,368.67,22.28,3029,2533,2601,338,1517,0.43
2020,9,16,11,22,4,5.74,0.00,0.01,-0.00,0.01,-9.35,-0.73,0.68,13.10,13.30,-124.50,35.14,969.72,368.85,22.04,2995,2505,2573,332,1435,0.40
2020,9,16,11,22,10,5.74,0.00,-0.00,-0.01,0.01,-9.36,-0.75,0.66,11.50,14.00,-126.10,35.13,969.72,368.87,24.25,3012,2519,2586,334,1471,0.41
2020,9,16,11,22,15,5.74,0.00,0.01,-0.01,0.01,-9.36,-0.73,0.69,13.10,14.00,-124.50,35.12,969.72,368.87,22.60,3068,2564,2633,340,1530,0.45
2020,9,16,11,22,21,5.74,0.00,-0.00,-0.01,0.01,-9.36,-0.72,0.68,12.40,13.10,-125.30,35.11,969.70,369.03,19.26,3053,2552,2621,336,1503,0.42
2020,9,16,11,22,27,5.74,0.00,0.01,-0.01,0.01,-9.37,-0.73,0.68,12.50,12.70,-125.60,35.10,969.71,369.01,18.74,3005,2512,2580,334,1467,0.41
2020,9,16,11,22,32,5.74,0.00,-0.00,0.00,0.01,-9.36,-0.74,0.69,12.10,13.50,-126.10,35.09,969.71,369.01,17.65,3026,2530,2599,333,1451,0.41
2020,9,16,11,22,38,5.74,0.00,-0.01,-0.00,0.00,-9.36,-0.74,0.69,11.60,13.60,-124.60,35.08,969.72,368.87,18.23,3031,2534,2603,330,1424,0.39
2020,9,16,11,22,44,5.74,0.00,0.00,-0.00,0.01,-9.36,-0.73,0.69,12.70,13.50,-128.10,35.07,969.70,369.10,18.39,3032,2535,2604,329,1402,0.39
2020,9,16,11,22,50,5.74,0.00,0.00,-0.00,0.01,-9.36,-0.74,0.67,12.30,14.20,-126.20,35.08,969.72,369.07,16.76,3028,2532,2600,328,1383,0.38
2020,9,16,11,22,55,5.74,0.00,0.01,-0.00,0.01,-9.36,-0.73,0.69,12.50,13.40,-125.50,35.07,969.67,369.31,16.34,3016,2522,2590,325,1367,0.36
2020,9,16,11,23,1,5.74,0.00,-0.01,-0.00,0.01,-9.35,-0.73,0.69,12.30,14.20,-124.90,35.07,969.69,369.12,17.25,3005,2513,2581,323,1336,0.35
2020,9,16,11,23,7,5.74,0.00,0.00,-0.00,0.01,-9.36,-0.73,0.68,13.00,13.00,-125.10,35.07,969.70,369.10,17.59,2981,2493,2561,322,1314,0.35
2020,9,16,11,23,13,5.74,0.00,-0.00,-0.00,0.01,-9.36,-0.72,0.67,12.30,13.30,-125.10,35.08,969.67,369.35,19.81,2986,2498,2566,326,1359,0.37
2020,9,16,11,23,18,5.74,0.00,0.00,-0.01,0.01,-9.36,-0.74,0.69,12.60,13.70,-127.90,35.08,969.70,369.24,18.48,2986,2497,2565,324,1357,0.36
2020,9,16,11,23,24,5.74,0.00,0.00,-0.01,0.01,-9.36,-0.73,0.67,11.80,13.40,-125.50,35.08,969.70,369.07,18.02,2986,2498,2566,324,1358,0.36
2020,9,16,11,23,30,5.74,0.00,0.00,-0.01,0.01,-9.35,-0.74,0.67,10.90,12.80,-123.20,35.09,969.68,369.26,15.96,2996,2562,2642,326,1368,0.37
2020,9,16,11,23,36,5.74,0.00,0.00,-0.01,0.01,-9.36,-0.74,0.69,11.30,12.70,-125.30,35.10,969.69,369.11,14.67,3077,2717,2824,324,1371,0.36
2020,9,16,11,23,41,5.74,0.00,-0.00,-0.00,0.01,-9.36,-0.73,0.67,12.10,13.30,-124.00,35.10,969.65,369.51,14.23,3034,2661,2761,325,1360,0.36
2020,9,16,11,23,47,5.76,0.00,0.00,-0.00,0.01,-9.37,-0.74,0.68,11.80,12.80,-125.20,35.11,969.68,369.22,14.15,2989,2608,2702,324,1342,0.36
2020,9,16,11,23,53,5.74,0.00,0.00,-0.00,0.01,-9.37,-0.72,0.69,10.80,13.30,-124.60,35.13,969.70,369.05,14.40,2937,2536,2621,323,1342,0.35
2020,9,16,11,23,59,5.74,0.00,0.01,0.00,0.01,-9.37,-0.73,0.67,12.00,12.00,-125.60,35.14,969.70,369.05,14.84,2995,2629,2729,321,1303,0.34
2020,9,16,11,24,4,5.74,0.00,0.01,-0.01,0.01,-9.37,-0.74,0.66,12.90,11.90,-126.90,35.15,969.70,369.06,14.48,3139,2818,2949,316,1258,0.32
2020,9,16,11,24,10,5.74,0.00,0.00,-0.00,0.01,-9.35,-0.73,0.67,11.60,12.90,-126.70,35.17,969.68,369.26,15.85,3164,2837,2965,320,1294,0.34
2020,9,16,11,24,16,5.74,0.00,0.01,-0.01,0.01,-9.37,-0.72,0.67,12.50,12.50,-125.60,35.20,969.68,369.21,16.17,3141,2815,2944,322,1336,0.35
2020,9,16,11,24,21,5.74,0.00,-0.00,-0.00,0.01,-9.34,-0.73,0.66,11.70,11.80,-127.70,35.24,969.71,369.01,17.05,3237,2897,3044,322,1324,0.35
2020,9,16,11,24,27,5.74,0.00,-0.00,-0.00,0.01,-9.37,-0.73,0.68,12.20,11.90,-126.40,35.29,969.69,369.15,16.41,3235,2901,3044,325,1364,0.36
2020,9,16,11,24,33,5.75,0.00,0.01,-0.00,0.01,-9.37,-0.73,0.66,12.50,11.80,-127.00,35.31,969.70,369.08,15.11,3120,2802,2932,322,1338,0.35
2020,9,16,11,24,39,5.74,0.00,0.01,-0.00,0.01,-9.36,-0.75,0.66,12.00,12.30,-126.70,35.35,969.68,369.19,14.91,3132,2814,2945,324,1346,0.36
2020,9,16,11,24,44,5.74,0.00,0.01,0.00,0.02,-9.37,-0.71,0.62,12.60,12.70,-125.90,35.37,969.66,369.43,15.05,3065,2744,2866,319,1289,0.33
2020,9,16,11,24,50,5.74,0.00,0.00,-0.00,0.01,-9.37,-0.72,0.66,13.10,13.10,-126.10,35.42,969.68,369.24,15.69,2977,2636,2742,326,1378,0.38
2020,9,16,11,24,56,5.74,0.00,-0.00,-0.01,0.01,-9.35,-0.72,0.65,15.20,16.20,-129.60,35.45,969.68,369.25,14.24,3291,2901,3062,318,1280,0.33
2020,9,16,11,25,2,5.74,0.00,-0.00,-0.00,0.01,-9.37,-0.71,0.67,13.60,13.60,-129.90,35.47,969.68,369.24,14.08,2955,2578,2670,316,1267,0.32
2020,9,16,11,25,7,5.74,0.00,0.00,-0.01,0.01,-9.36,-0.73,0.66,15.20,14.50,-128.50,35.51,969.67,369.34,14.46,3027,2702,2817,318,1279,0.33
2020,9,16,11,25,13,5.74,0.00,0.01,-0.01,0.01,-9.37,-0.74,0.65,13.60,14.60,-128.80,35.53,969.65,369.51,13.86,2971,2627,2730,318,1255,0.33
2020,9,16,11,25,19,5.74,0.00,-0.00,-0.00,0.01,-9.36,-0.72,0.68,13.70,13.70,-127.70,35.56,969.65,369.53,13.59,2868,2474,2555,315,1241,0.31
2020,9,16,11,25,25,5.74,0.00,-0.00,-0.00,0.01,-9.35,-0.74,0.68,14.30,14.40,-130.00,35.59,969.69,369.18,13.80,2899,2505,2589,318,1285,0.33
2020,9,16,11,25,30,5.74,0.00,0.01,-0.01,0.01,-9.36,-0.72,0.67,15.10,15.90,-131.70,35.60,969.66,369.44,13.53,3034,2735,2867,317,1272,0.32
2020,9,16,11,25,36,5.74,0.00,0.00,-0.00,0.01,-9.35,-0.74,0.66,15.70,15.80,-131.50,35.62,969.68,369.26,13.86,3189,2820,2979,313,1237,0.30
2020,9,16,11,25,42,5.74,0.00,0.00,-0.01,0.01,-9.36,-0.73,0.64,15.80,17.60,-132.30,35.66,969.69,369.19,14.66,3243,2850,3014,313,1237,0.30
2020,9,16,11,25,48,5.74,0.00,0.00,-0.01,-0.00,-9.35,-0.75,0.67,1.80,30.20,-133.40,35.68,969.68,369.21,13.91,3918,2905,3144,317,1269,0.32
2020,9,16,11,25,53,5.74,0.00,0.00,-0.01,0.01,-9.35,-0.72,0.64,14.10,22.00,-132.90,35.69,969.65,369.47,13.54,3611,2893,3102,315,1259,0.31
2020,9,16,11,25,59,5.74,0.00,0.01,-0.01,0.01,-9.35,-0.73,0.67,14.70,20.50,-131.40,35.70,969.65,369.45,14.01,3646,2855,3072,315,1227,0.31
2020,9,16,11,26,5,5.74,0.00,0.01,-0.01,0.01,-9.35,-0.72,0.65,15.40,17.20,-131.40,35.70,969.67,369.31,13.19,3102,2777,2926,314,1225,0.31
2020,9,16,11,26,11,5.74,0.00,0.00,-0.01,0.02,-9.36,-0.70,0.67,11.90,11.90,-126.80,35.69,969.66,369.39,13.28,3034,2739,2873,317,1252,0.32
2020,9,16,11,26,16,5.74,0.00,0.00,-0.01,0.01,-9.35,-0.69,0.66,15.20,18.10,-131.70,35.71,969.66,369.40,13.62,3589,2894,3100,314,1237,0.31
2020,9,16,11,26,22,5.74,0.00,0.01,-0.00,0.01,-9.38,-0.74,0.63,15.00,16.60,-129.90,35.70,969.68,369.27,13.96,3139,2811,2960,314,1228,0.31
2020,9,16,11,26,28,5.74,0.00,0.01,-0.01,0.01,-9.36,-0.74,0.64,15.20,15.00,-129.10,35.71,969.68,369.24,14.21,3113,2792,2939,313,1223,0.30
2020,9,16,11,26,33,5.74,0.00,-0.00,-0.01,0.01,-9.38,-0.70,0.69,15.10,14.80,-129.10,35.74,969.69,369.15,14.80,3081,2777,2918,312,1221,0.31
2020,9,16,11,26,39,5.74,0.00,0.00,-0.00,0.01,-9.35,-0.72,0.67,10.20,10.20,-125.00,35.75,969.70,369.09,14.28,3382,2863,3045,313,1237,0.30
2020,9,16,11,26,45,5.74,0.00,0.00,-0.00,0.01,-9.35,-0.73,0.68,5.20,8.50,-123.30,35.76,969.66,369.36,14.72,3118,2795,2945,314,1236,0.31
2020,9,16,11,26,51,5.74,0.00,0.00,-0.01,0.00,-9.35,-0.72,0.65,15.20,16.10,-131.10,35.78,969.68,369.24,14.17,3937,2908,3139,314,1260,0.31
2020,9,16,11,26,56,5.74,0.00,0.00,-0.01,0.01,-9.37,-0.70,0.66,14.70,15.70,-129.70,35.79,969.69,369.15,15.12,3496,2885,3082,315,1251,0.31
2020,9,16,11,27,2,5.74,0.00,0.00,-0.01,0.01,-9.36,-0.72,0.66,15.60,18.90,-132.00,35.79,969.69,369.13,14.11,3617,2961,3164,315,1261,0.31
